epoch,train_accuracy,train_loss,val_accuracy,val_loss
1,0.2647,10.7608,0.2685,12.2141
2,0.2752,10.4588,0.3188,11.7243
3,0.3921,9.7285,0.4431,11.1206
4,0.4784,9.0518,0.5222,10.5724
5,0.5683,8.2355,0.6077,9.9256
6,0.6294,7.6545,0.6441,9.5997
7,0.6605,7.3365,0.6585,9.5756
8,0.6878,7.0999,0.6723,9.4467
9,0.7018,6.9391,0.6836,9.3742
10,0.7130,6.8067,0.6921,9.3240
11,0.7212,6.7005,0.7012,9.2630
12,0.7291,6.5842,0.7088,9.1854
13,0.7353,6.4789,0.7147,9.1247
14,0.7412,6.3812,0.7209,9.0683
15,0.7469,6.2934,0.7258,9.0152
16,0.7524,6.2108,0.7308,8.9687
17,0.7573,6.1342,0.7347,8.9243
18,0.7618,6.0621,0.7384,8.8834
19,0.7659,5.9943,0.7418,8.8456
20,0.7698,5.9312,0.7449,8.8108
21,0.7734,5.8724,0.7478,8.7789
22,0.7768,5.8178,0.7503,8.7498
23,0.7799,5.7672,0.7525,8.7234
24,0.7828,5.7204,0.7544,8.6995
25,0.7855,5.6771,0.7560,8.6778
26,0.7880,5.6372,0.7574,8.6582
27,0.7903,5.6004,0.7586,8.6405
28,0.7924,5.5665,0.7596,8.6246
29,0.7943,5.5353,0.7604,8.6103
30,0.7961,5.5066,0.7611,8.5975
31,0.7977,5.4802,0.7616,8.5861
32,0.7992,5.4559,0.7620,8.5760
33,0.8005,5.4336,0.7623,8.5671
34,0.8017,5.4131,0.7625,8.5592
35,0.8028,5.3943,0.7626,8.5523
36,0.8038,5.3770,0.7627,8.5463
37,0.8047,5.3612,0.7627,8.5411
38,0.8055,5.3467,0.7627,8.5367
39,0.8062,5.3334,0.7626,8.5329
40,0.8068,5.3212,0.7625,8.5297
